관리기관명,소재지지번주소,소재지도로명주소,카메라대수,카메라화소,촬영방면정보,보관일수,설치연도,위도,경도,데이터기준일자
광주광역시 사회재난과,광산구 소촌동 603-5,광산구 어등대로665번길 20,1,200만,360도,30일,2009,35.146244,126.791534,2023-06-30
광주광역시 사회재난과,광산구 소촌동 603-5,광산구 어등대로665번길 20,1,200만,360도,30일,2022,35.146244,126.791534,2023-06-30
광주광역시 사회재난과,광산구 소촌동 69-6,광산구 금봉로 37,1,200만,360도,30일,2013,35.15173936,126.8024967,2023-06-30
광주광역시 사회재난과,광산구 소촌동 69-6,광산구 금봉로 37,1,200만,360도,30일,2022,35.15173936,126.8024967,2023-06-30
광주광역시 사회재난과,광산구 소촌동 100,광산구 송정공원로 74,1,200만,360도,30일,2013,35.15001294,126.7987049,2023-06-30
광주광역시 사회재난과,광산구 소촌동 100,광산구 송정공원로 74,1,200만,360도,30일,2022,35.15001294,126.7987049,2023-06-30
광주광역시 사회재난과,광산구 송산동 195,광산구 박호등임로 43-1,1,200만,360도,30일,2013,35.158175,126.736272,2023-06-30
광주광역시 사회재난과,광산구 송산동 195,광산구 박호등임로 43-1,2,200만,360도,30일,2020,35.158175,126.736272,2023-06-30
광주광역시 사회재난과,광산구 송산동 195,광산구 박호등임로 43-1,1,200만,360도,30일,2021,35.158175,126.736272,2023-06-30
광주광역시 사회재난과,광산구 송산동 256-20,,2,200만,360도,30일,2022,35.158219,126.732216,2023-06-30
광주광역시 사회재난과,광산구 송정동 1145-8,,2,200만,360도,30일,2013,35.1349421,126.7859557,2023-06-30
광주광역시 사회재난과,광산구 송정동 1145-8,,2,200만,360도,30일,2019,35.1349421,126.7859557,2023-06-30
광주광역시 사회재난과,광산구 송정동 230-8,광산구 송정로65번길 28,1,200만,360도,30일,2013,35.135095,126.798462,2023-06-30
광주광역시 사회재난과,광산구 송정동 230-8,광산구 송정로65번길 28,1,200만,360도,30일,2020,35.135095,126.798462,2023-06-30
광주광역시 사회재난과,광산구 송정동 230-8,광산구 송정로65번길 28,1,200만,360도,30일,2019,35.135095,126.798462,2023-06-30
광주광역시 사회재난과,광산구 송정동 268-39,광산구 송도로270번길 39,3,200만,360도,30일,2020,35.137559,126.8013,2023-06-30
광주광역시 사회재난과,광산구 송정동 324-2 맞은편,광산구 용보로27번길 28,1,200만,360도,30일,2013,35.136939,126.803049,2023-06-30
광주광역시 사회재난과,광산구 송정동 324-2 맞은편,광산구 용보로27번길 28,1,200만,360도,30일,2022,35.136939,126.803049,2023-06-30
광주광역시 사회재난과,광산구 송정동 448-11,광산구 송도로304번길 78,2,200만,360도,30일,2013,35.138998,126.8048249,2023-06-30
광주광역시 사회재난과,광산구 송정동 448-11,광산구 송도로304번길 78,1,200만,360도,30일,2018,35.138998,126.8048249,2023-06-30
광주광역시 사회재난과,광산구 송정동 555-7,광산구 용보로 14,2,200만,360도,30일,2013,35.137057,126.800701,2023-06-30
광주광역시 사회재난과,광산구 송정동 566-22,광산구 내상로33번안길 22,2,200만,360도,30일,2021,35.138816,126.799022,2023-06-30
광주광역시 사회재난과,광산구 송정동 567-5,광산구 내상로33번길 46,1,200만,360도,30일,2010,35.140094,126.799096,2023-06-30
광주광역시 사회재난과,광산구 송정동 567-5,광산구 내상로33번길 46,1,200만,360도,30일,2019,35.140094,126.799096,2023-06-30
광주광역시 사회재난과,광산구 송정동 567-5,광산구 내상로33번길 46,2,200만,360도,30일,2019,35.140094,126.799096,2023-06-30
광주광역시 사회재난과,광산구 송정동 576-11,광산구 광산로 56-1,1,200만,360도,30일,2013,35.14018546,126.797191,2023-06-30
광주광역시 사회재난과,광산구 송정동 576-11,광산구 광산로 56-1,2,200만,360도,30일,2019,35.14018546,126.797191,2023-06-30
광주광역시 사회재난과,광산구 송정동 576-11,광산구 광산로 56-1,1,200만,360도,30일,2021,35.14018546,126.797191,2023-06-30
광주광역시 사회재난과,광산구 송정동 587-10,광산구 송도로 305,1,200만,360도,30일,2013,35.14020719,126.8009852,2023-06-30
광주광역시 사회재난과,광산구 송정동 587-10,광산구 송도로 305,1,200만,360도,30일,2022,35.14020719,126.8009852,2023-06-30
광주광역시 사회재난과,광산구 송정동 71-5,,2,200만,360도,30일,2020,35.139902,126.805314,2023-06-30
광주광역시 사회재난과,광산구 송정동 71-5,,1,200만,360도,30일,2020,35.139902,126.805314,2023-06-30
광주광역시 사회재난과,광산구 송정동 732-4,광산구 광산로89번길 15,2,200만,360도,30일,2013,35.142979,126.799572,2023-06-30
광주광역시 사회재난과,광산구 송정동 732-4,광산구 광산로89번길 15,1,200만,360도,30일,2018,35.142979,126.799572,2023-06-30
광주광역시 사회재난과,광산구 송정동 732-4,광산구 광산로89번길 15,1,200만,360도,30일,2021,35.142979,126.799572,2023-06-30
광주광역시 사회재난과,광산구 송정동 732-4,광산구 광산로89번길 15,1,200만,360도,30일,2022,35.142979,126.799572,2023-06-30
광주광역시 사회재난과,광산구 송정동 763-3,,1,200만,360도,30일,2013,35.14123347,126.7977915,2023-06-30
광주광역시 사회재난과,광산구 송정동 763-3,,1,200만,360도,30일,2018,35.14123347,126.7977915,2023-06-30
광주광역시 사회재난과,광산구 송정동 763-3,,1,200만,360도,30일,2022,35.14123347,126.7977915,2023-06-30
광주광역시 사회재난과,광산구 송정동 809-14,광산구 내상로 39,2,200만,360도,30일,2022,35.13861244,126.7971587,2023-06-30
광주광역시 사회재난과,광산구 송정동 817-2,,1,200만,360도,30일,2013,35.13744271,126.7945786,2023-06-30
광주광역시 사회재난과,광산구 송정동 817-2,,2,200만,360도,30일,2019,35.13744271,126.7945786,2023-06-30
광주광역시 사회재난과,광산구 송정동 817-2,,1,200만,360도,30일,2022,35.13744271,126.7945786,2023-06-30
광주광역시 사회재난과,광산구 송정동 871-8,광산구 송정로30번길 16,1,200만,360도,30일,2010,35.13563423,126.7935994,2023-06-30
광주광역시 사회재난과,광산구 송정동 871-8,광산구 송정로30번길 16,1,200만,360도,30일,2019,35.13563423,126.7935994,2023-06-30
광주광역시 사회재난과,광산구 송정동 871-8,광산구 송정로30번길 16,1,200만,360도,30일,2021,35.13563423,126.7935994,2023-06-30
광주광역시 사회재난과,광산구 송정동 871-8,광산구 송정로30번길 16,1,200만,360도,30일,2022,35.13563423,126.7935994,2023-06-30
광주광역시 사회재난과,광산구 송정동 880-2,광산구 송정로51번길 15,1,200만,360도,30일,2013,35.13596206,126.7968822,2023-06-30
광주광역시 사회재난과,광산구 송정동 880-2,광산구 송정로51번길 15,2,200만,360도,30일,2019,35.13596206,126.7968822,2023-06-30
광주광역시 사회재난과,광산구 송정동 880-2,광산구 송정로51번길 15,1,200만,360도,30일,2022,35.13596206,126.7968822,2023-06-30
광주광역시 사회재난과,광산구 송정동 985-37,광산구 송정로8번길 40,1,200만,360도,30일,2013,35.13541713,126.791121,2023-06-30
광주광역시 사회재난과,광산구 송정동 985-37,광산구 송정로8번길 40,2,200만,360도,30일,2019,35.13541713,126.791121,2023-06-30
광주광역시 사회재난과,광산구 송정동 985-37,광산구 송정로8번길 40,1,200만,360도,30일,2021,35.13541713,126.791121,2023-06-30
광주광역시 사회재난과,광산구 수완동 1475,광산구 임방울대로 330,1,200만,360도,30일,2013,35.18949148,126.8239775,2023-06-30
광주광역시 사회재난과,광산구 수완동 1475,광산구 임방울대로 330,1,200만,360도,30일,2020,35.18949148,126.8239775,2023-06-30
광주광역시 사회재난과,광산구 수완동 1475,광산구 임방울대로 330,1,200만,360도,30일,2018,35.18949148,126.8239775,2023-06-30
광주광역시 사회재난과,광산구 수완동 732 ,광산구 하완길 19,1,200만,360도,30일,2013,35.202151,126.82547,2023-06-30
광주광역시 사회재난과,광산구 수완동 732,광산구 하완길 19,1,200만,360도,30일,2020,35.202151,126.82547,2023-06-30
광주광역시 사회재난과,광산구 신가동 1015-7,광산구 수등로258번길 2,1,200만,360도,30일,2010,35.184642,126.837122,2023-06-30
광주광역시 사회재난과,광산구 신가동 1015-7,광산구 수등로258번길 2,1,200만,360도,30일,2022,35.184642,126.837122,2023-06-30
광주광역시 사회재난과,광산구 신가동 303-3,,2,200만,360도,30일,2020,35.18146483,126.8363105,2023-06-30
광주광역시 사회재난과,광산구 신가동 303-3,,1,200만,360도,30일,2018,35.18146483,126.8363105,2023-06-30
광주광역시 사회재난과,광산구 도산동 777-1,,1,200만,360도,30일,2013,35.1297853,126.7932301,2023-06-30
광주광역시 사회재난과,광산구 송정동 915-25,광산구 신도산길 27-12,1,200만,360도,30일,2013,35.1321684,126.7892443,2023-06-30
광주광역시 사회재난과,광산구 송정동 915-25,광산구 신도산길 27-12,1,200만,360도,30일,2020,35.1321684,126.7892443,2023-06-30
광주광역시 사회재난과,광산구 신가동 966-7,광산구 목련로397번안길 16,2,200만,360도,30일,2013,35.1833928,126.8320255,2023-06-30
광주광역시 사회재난과,광산구 신가동 966-7,광산구 목련로397번안길 16,1,200만,360도,30일,2019,35.1833928,126.8320255,2023-06-30
광주광역시 사회재난과,광산구 신룡동 486-4,,1,200만,360도,30일,2014,35.2104375,126.7611424,2023-06-30
광주광역시 사회재난과,광산구 신룡동 486-4,,1,200만,360도,30일,2022,35.2104375,126.7611424,2023-06-30
광주광역시 사회재난과,광산구 신창동 1075-2,광산구 구촌반촌길 242,1,200만,360도,30일,2013,35.19104,126.849942,2023-06-30
광주광역시 사회재난과,광산구 신창동 1207-6,광산구 신창로36번길 28,2,200만,360도,30일,2022,35.188358,126.83839,2023-06-30
광주광역시 사회재난과,광산구 신창동 1110,광산구 신창로161번길 34,2,200만,360도,30일,2022,35.20021093,126.8397035,2023-06-30
광주광역시 사회재난과,광산구 신창동 1112,,1,200만,360도,30일,2010,35.19933077,126.838514,2023-06-30
광주광역시 사회재난과,광산구 신창동 1112,,2,200만,360도,30일,2019,35.19933077,126.838514,2023-06-30
광주광역시 사회재난과,광산구 신창동 1112,,1,200만,360도,30일,2022,35.19933077,126.838514,2023-06-30
광주광역시 사회재난과,광산구 신창동 1136-1,광산구 신창로138번길 32-3,1,200만,360도,30일,2010,35.196013,126.840743,2023-06-30
광주광역시 사회재난과,광산구 신창동 1136-1,광산구 신창로138번길 32-3,1,200만,360도,30일,2022,35.196013,126.840743,2023-06-30
광주광역시 사회재난과,광산구 신창동 1162-3,광산구 신창로162번길 69,2,200만,360도,30일,2022,35.19757292,126.8442399,2023-06-30
광주광역시 사회재난과,광산구 신창동 1163-8,광산구 신창로162번길 39-3,1,200만,360도,30일,2013,35.19762416,126.8425224,2023-06-30
광주광역시 사회재난과,광산구 신창동 1163-8,광산구 신창로162번길 39-3,1,200만,360도,30일,2022,35.19762416,126.8425224,2023-06-30
광주광역시 사회재난과,광산구 신창동 1197-1,광산구 신창로48번길 53-13,1,200만,360도,30일,2014,35.190415,126.840074,2023-06-30
